ZIP,TotPop,PctUrban,PctWhite,PctBlack,PctHisp,PctHighSchool,MedianHHInc,PctPoor,PctOccupied,ScrubbedFacility,meanSulfur,totOpTime,totHeatInput,Phase2,Region,propscore,PM,Z
"50174",1458,0,0.983539094650206,0,0.00205761316872428,0.548004314994606,-0.430433879291101,0.0790378006872852,0.909090909090909,FALSE,-0.625321076677964,-0.316484588403462,-1.03913822153487,1,"UpperMidwest",0.00186164192667895,6.26327374851436,0
"37762",3391,0,0.969035682689472,0.00737245650250664,0.00176938956060159,0.355650319829424,-1.13726913048613,0.306122448979592,0.9189364461738,FALSE,0.860928013796154,-0.352853408424088,-0.729091541378709,0,"Southeast",0.27755917908478,6.15177856942877,0
"55020",2374,0,0.986099410278012,0,0.0092670598146588,0.36593707250342,1.61513887551196,0.0109983079526227,0.971321695760598,FALSE,0.235224018592736,-0.303461088858871,-0.716126918221869,1,"UpperMidwest",0.00310380687925485,8.54617243566434,0
"40468",1444,0,0.953601108033241,0.0367036011080332,0.0207756232686981,0.401010101010101,-0.329378574878036,0.0848990953375087,0.866666666666667,FALSE,0.847320026059578,0.0953967905931958,-0.460764751931889,0,"IndustrialMidwest",0.287336366548051,6.20224520644834,0
"64034",5954,0.735807860262009,0.950789385287202,0.0107490762512597,0.0211622438696674,0.245223763412719,1.59735608529364,0.0312815338042381,0.966511627906977,TRUE,-0.777756880829155,-1.08470852739316,-0.331535227950434,1,"UpperMidwest",0.987477087832609,5.92720055092466,1
"46960",1519,0,0.879526003949967,0.0987491770901909,0.0204081632653061,0.425668449197861,-0.259596453262703,0.099933818663137,0.744993324432577,FALSE,1.50979787395593,1.09088318949975,1.22885866225916,1,"IndustrialMidwest",0.4209252394713,7.40335020328536,0
"23423",414,0,0.985507246376812,0,0,0.329446064139942,-0.416085007183907,0.147420147420147,0.831372549019608,FALSE,0.585782746945725,-0.351927866786897,-0.695020276920331,1,"Northeast",0.357546826963343,7.97030996835086,0
"02552",1196,0,0.852006688963211,0.00752508361204013,0.0117056856187291,0.199089874857793,0.151799200443155,0.0745393634840871,0.276150627615063,FALSE,-0.244231566299985,-1.0636486175354,-0.923732431710379,1,"Northeast",0.391832064333437,6.55650808839769,0
"37172",24864,0.527831402831403,0.808437902187902,0.162765444015444,0.0495093307593308,0.383972254908032,0.0454090589645944,0.120452209660843,0.947330595482546,FALSE,-0.851927789100206,1.19079202310658,0.235498275901348,0,"Southeast",0.154208607357468,4.9718030748114,0
"32790",23791,1,0.834391156319617,0.125425581102097,0.0547686099785633,0.17006030930913,0.360838965457803,0.0815248746283229,0.935577271082157,TRUE,0.374091823811292,-0.296699668586397,0.168502414756403,1,"Southeast",0.459799648600542,6.93976416203176,1
"47431",1217,0,0.979457682826623,0.00986031224322103,0,0.440389294403893,-0.623469133109263,0.09531635168447,0.800332778702163,FALSE,0.530650438135239,0.991890867855607,-0.790916662363602,1,"IndustrialMidwest",0.251465963920857,6.21178840699245,0
"04657",331,0,0.993957703927492,0,0,0.444444444444444,-0.255120095724989,0.0495356037151703,0.314410480349345,FALSE,-0.0917957621487932,0.425034991192787,-0.853208427607652,1,"Northeast",0.278866346851719,6.51816992489155,0
"07849",6900,0.917536231884058,0.976811594202899,0.00217391304347826,0.0392753623188406,0.326073165574117,1.46398515865625,0.0314685314685315,0.918625043844265,FALSE,1.16579962209854,-0.458929509720685,-0.689531266061765,0,"Northeast",0.391519138552911,8.14541363070265,0
"27331",54853,0.483546934534118,0.701766539660547,0.207609428837074,0.106976828979272,0.299887228643924,-0.00389219391653698,0.121408711770158,0.920518475178901,FALSE,0.111451976719463,-0.399333657960094,-0.733207979328428,1,"Southeast",0.365229585208852,3.88180231735115,0
"45695",672,0,1,0,0,0.44097995545657,-0.653699876480404,0.230654761904762,0.886850152905199,FALSE,1.04743040405113,4.83069896612975,1.29669241392845,0,"IndustrialMidwest",0.0956356064935655,7.71276542968744,0
"28038",4501,0.0579871139746723,0.818040435458787,0.169517884914463,0.00688735836480782,0.347197106690778,-0.269285007933374,0.127313266443701,0.901063829787234,FALSE,0.00998683045349874,0.3498530182619,-0.389337912946664,1,"Southeast",0.287157095019676,5.57529778945603,0
"18067",15770,0.786556753329106,0.975206087507926,0.00526315789473684,0.0187698161065314,0.415016283777836,0.365192683062978,0.0326176976492323,0.954950869236584,FALSE,1.16579962209854,-0.458929509720685,-0.689531266061765,0,"Northeast",0.363730686788483,8.40401032981067,0
"35618",2247,0,0.407209612817089,0.543391188251001,0.00667556742323097,0.367421475529584,-1.08490187929149,0.236947791164659,0.888465204957102,FALSE,-0.599915109319432,1.7610385425476,0.473534945744091,0,"Southeast",0.15684732645505,2.60104295997595,0
"11787",34908,1,0.958490890340323,0.00701844849318208,0.0296780107711699,0.272734693877551,2.47453820278691,0.0297488921713442,0.982957435984399,FALSE,-1.05722252177301,-1.04945396920697,-0.534117605221057,1,"Northeast",0.309779789050343,4.03793076622642,0
"01566",5531,0.409690833483999,0.977942505875972,0,0.00433917917193997,0.265078560567663,1.10857463415496,0.0453885257806826,0.928879310344828,FALSE,-0.63802406035723,-1.04339776651366,-0.874815334201708,1,"Northeast",0.319818632363854,6.05543955050223,0
"19520",6015,0,0.977389858686617,0.00648379052369077,0.00432252701579385,0.360153256704981,0.938227767856725,0.0366343258614921,0.953983809118023,FALSE,1.2547205078534,0.348145506812214,-0.831104775600153,1,"Northeast",0.353768490075363,5.38585795204073,0
